food_name,diet_type,culture,meal_type,calories,protein,carbs,fat,medical_suitability,cost_per_100g,carbon_score,recommended_for,avoid_for,category,recipe
Oats Porridge Spicy,Vegetarian,Western,Breakfast,303,16,61,6,heart,44,2.2,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mushroom Masala Mild,Vegetarian,Western,Lunch,339,16,27,18,ibs,36,2.3,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Bhurji Spicy,Non-Vegetarian,Indian,Lunch,288,23,10,20,hypertension,33,3.5,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Roll Deluxe,Non-Vegetarian,Western,Breakfast,284,17,37,10,pcos,34,4.9,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry Special,Vegan,Indian,Breakfast,419,25,28,16,pcos,41,1.4,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bacon and Eggs Deluxe,Non-Vegetarian,Mediterranean,Breakfast,403,31,11,27,hypertension,37,4.6,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Stir Fry Spicy,Vegan,Western,Breakfast,298,20,34,14,pcos,46,1.5,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Pancakes Mild,Vegan,Asian,Snack,371,8,46,6,"obesity,general",43,1,"General Health, Weight Management","High Calorie, Processed, Excessive Processing",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Curry Mild,Non-Vegetarian,Mediterranean,Lunch,391,27,16,17,pcos,66,3,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mushroom Masala Deluxe,Vegetarian,Asian,Dinner,380,15,25,20,hypertension,47,2.3,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dosa with Chutney with Gravy,Vegetarian,Asian,Breakfast,281,9,64,9,pcos,44,2.9,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Oats Porridge,Vegetarian,Western,Breakfast,322,13,43,9,general,43,1.9,General Health,Excessive Processing,Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dhokla Deluxe,Vegetarian,Western,Lunch,232,9,32,4,ibs,34,2.9,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fillet Special,Non-Vegetarian,Western,Lunch,259,32,16,20,general,62,3.5,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Curry with Gravy,Non-Vegetarian,Asian,Dinner,425,22,16,16,diabetes,65,4.7,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Buddha Bowl Mild,Vegan,Western,Dinner,338,14,54,9,hypertension,45,1.1,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sandwich Mild,Non-Vegetarian,Western,Breakfast,322,32,37,15,heart,79,4.4,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Lentil Soup,Vegan,Indian,Snack,330,20,53,5,"general,pcos",45,1.9,"Anti-inflammatory, General Health","Excessive Processing, High Sugar, Processed Foods",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mushroom Stroganoff,Vegan,Western,Snack,317,12,48,16,"obesity,hypertension",32,1.7,"Low Sodium, Weight Management","High Calorie, Processed, High Sodium, Processed",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chana Masala,Vegetarian,Mediterranean,Dinner,403,13,48,7,"heart,obesity",46,2.9,"Heart Healthy, Weight Management","High Calorie, Processed, High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Keema Matar Mild,Non-Vegetarian,Asian,Snack,501,24,22,26,thyroid,45,3.4,Balanced Iodine,Goitrogenic Foods,Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Paneer Butter Masala,Vegetarian,Asian,Dinner,475,18,22,31,"pcos,obesity",64,2.1,"Anti-inflammatory, Weight Management","High Calorie, Processed, High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sausages with Gravy,Non-Vegetarian,Indian,Breakfast,287,21,6,27,diabetes,78,3.8,"Low GI, High Fiber","High Sugar, Refined Carbs",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Biryani,Non-Vegetarian,Mediterranean,Dinner,384,26,76,11,general,93,3.1,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Korma Spicy,Non-Vegetarian,Indian,Dinner,534,29,22,27,heart,63,4.3,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Tikki Special,Vegetarian,Mediterranean,Lunch,206,3,40,7,"obesity,diabetes",37,1.9,"Low GI, High Fiber, Weight Management","High Calorie, Processed, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sandwich Mild,Non-Vegetarian,Mediterranean,Lunch,351,28,38,15,"general,ibs",63,4.6,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dosa with Chutney,Vegetarian,Mediterranean,Breakfast,304,9,68,8,thyroid,45,2.4,Balanced Iodine,Goitrogenic Foods,Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Wings,Non-Vegetarian,Western,Snack,361,21,8,25,"hypertension,general",81,4.4,"Low Sodium, General Health","Excessive Processing, High Sodium, Processed",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dal Makhani Deluxe,Vegetarian,Indian,Breakfast,428,21,35,15,pcos,47,2.5,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Pancakes Mild,Vegan,Western,Breakfast,323,9,60,7,thyroid,35,1.7,Balanced Iodine,Goitrogenic Foods,Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Oats Porridge Spicy,Vegetarian,Mediterranean,Breakfast,274,12,62,8,obesity,47,2.5,Weight Management,"High Calorie, Processed",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Grilled Chicken,Non-Vegetarian,Western,Dinner,302,39,9,20,ibs,89,4.4,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Baingan Bharta,Vegetarian,Asian,Dinner,280,7,28,17,obesity,44,2.2,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Bhurji,Non-Vegetarian,Mediterranean,Lunch,349,28,11,25,"pcos,heart",47,4,"Anti-inflammatory, Heart Healthy","High Sugar, Processed Foods, High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Scramble,Vegan,Asian,Snack,273,20,19,15,pcos,39,1.6,Anti-inflammatory,"High Sugar, Processed Foods",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Curry,Non-Vegetarian,Western,Breakfast,308,26,22,17,"hypertension,ibs",73,4.5,"Low Sodium, Low FODMAP","High Sodium, Processed, High FODMAP",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Grilled Chicken,Non-Vegetarian,Asian,Lunch,416,39,6,14,general,69,4.3,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Dinner,472,18,68,15,diabetes,53,3,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare Vegetarian Thali 25 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta,Vegetarian,Western,Breakfast,539,12,34,26,thyroid,42,1.8,Balanced Iodine,Goitrogenic Foods,Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Pav Bhaji,Vegetarian,Western,Snack,381,13,56,13,thyroid,39,1.9,Balanced Iodine,Goitrogenic Foods,Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Quinoa Bowl,Vegan,Asian,Snack,296,14,51,8,heart,35,1.6,Heart Healthy,"High Saturated Fat, Sodium",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Quinoa Bowl,Vegan,Western,Lunch,281,15,62,8,hypertension,35,1.4,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry Spicy,Vegan,Asian,Lunch,402,23,24,20,"diabetes,heart",34,1.9,"Low GI, High Fiber, Heart Healthy","High Saturated Fat, Sodium, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll Dry,Vegetarian,Mediterranean,Snack,177,6,30,6,hypertension,35,2.7,Low Sodium,"High Sodium, Processed",Snack,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix Spicy,Vegan,Indian,Dinner,269,8,25,18,general,42,1.5,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fillet Special,Non-Vegetarian,Asian,Lunch,281,31,14,21,"diabetes,thyroid",75,4.5,"Balanced Iodine, Low GI, High Fiber","High Sugar, Refined Carbs, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Rajma,Vegetarian,Indian,Dinner,357,14,59,6,"ibs,obesity",46,1.6,"Low FODMAP, Weight Management","High Calorie, Processed, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Bhurji Mild,Non-Vegetarian,Mediterranean,Breakfast,396,25,10,20,hypertension,32,3.6,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chickpea Curry Dry,Vegan,Western,Lunch,339,15,59,7,hypertension,41,1.4,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Tikka Masala Spicy,Non-Vegetarian,Western,Dinner,493,37,20,21,"diabetes,general",87,3.9,"Low GI, High Fiber, General Health","Excessive Processing, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vada Pav Spicy,Vegetarian,Western,Dinner,265,9,37,8,hypertension,36,2.1,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll with Gravy,Vegetarian,Western,Snack,214,6,28,5,"general,diabetes",44,1.8,"Low GI, High Fiber, General Health","Excessive Processing, High Sugar, Refined Carbs",Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Salad Spicy,Vegan,Western,Breakfast,163,1,33,0,"hypertension,diabetes",41,1.4,"Low Sodium, Low GI, High Fiber","High Sugar, Refined Carbs, High Sodium, Processed",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chia Pudding,Vegan,Western,Breakfast,271,10,31,12,pcos,45,2,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thali,Vegan,Indian,Dinner,407,16,70,11,diabetes,60,3.3,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare Vegan Thali 106 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chana Masala Dry,Vegetarian,Asian,Lunch,298,17,51,7,ibs,38,2.4,Low FODMAP,High FODMAP,Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature Mild,Vegetarian,Indian,Dinner,464,21,65,21,"pcos,heart",42,2.4,"Anti-inflammatory, Heart Healthy","High Sugar, Processed Foods, High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chickpea Curry,Vegan,Asian,Dinner,349,18,60,7,obesity,33,1.5,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Non-Vegetarian Thali,Non-Vegetarian,Indian,Lunch,559,29,62,21,ibs,69,2.8,Low FODMAP,High FODMAP,Main Meal,"Prepare Non-Vegetarian Thali 390 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
